name,native notation,kbsm,affine,arrow,mock,yamada,flip,mirror,unique,mutant,kiral,rotatable
5_35,a=V(b0) b=X(a0 c0 c3 d3) c=X(b1 d2 e3 b2) d=X(f0 e0 c1 b3) e=X(d1 f2 f1 c2) f=X(d0 e2 e1 g0) g=V(f3) ['name'='5_35'],2*A**15 + A**13 - 2*A**11 - 3*A**9 + 2*A**5 - A,-2*t + 4 - 2/t,-2*A**18*L1 - A**16 + 2*A**14*L1 + 3*A**12 - 2*A**8 + A**4,w**2 - 2*w - 3 + 2/w + 3/w**2,-A**21 - A**20 + A**19 + A**18 - A**17 + 2*A**16 + 3*A**15 - A**14 - A**13 + 2*A**12 - 2*A**11 - 2*A**10 + A**9 - A**8 - 2*A**6 + 2*A**5 - A**4 - 3*A**3 + 2*A**2 - A - 3,5_35,5_90,True,False,True,True
5_40,a=V(b0) b=X(a0 c0 c3 d0) c=X(b1 d3 e3 b2) d=X(b3 f0 e0 c1) e=X(d2 f2 f1 c2) f=X(d1 e2 e1 g0) g=V(f3) ['name'='5_40'],-A**13 + A**9 + 2*A**7 - 2*A**3 - A,-2*t + 4 - 2/t,A**16 - A**12 - 2*A**10*L1 + 2*A**6*L1 + A**4,-w**2 - 2*w + 1 + 2/w + w**(-2),A**17 - A**16 - 2*A**15 + A**14 - A**13 + 2*A**11 + A**10 + 2*A**9 + A**7 - A**5 + A**4 + A**3 - A**2 + A + 1,5_40,5_91,True,False,True,True
3_3,a=V(b0) b=X(a0 c0 c3 d0) c=X(b1 d2 d1 b2) d=X(b3 c2 c1 e0) e=V(d3) ['name'='3_3'],A**14 + A**6 - A**2,0,A**(-4) + A**(-12) - 1/A**16,w**2 - 1 + w**(-2),A**13 + A**12 + 2*A**11 + 2*A**10 + 2*A**9 + A**8 + A**7 - A**6 - A**5 - 2*A**4 - A**3 + 1,3_3,3_2,True,False,True,True
7_842,a=V(b0) b=X(a0 c3 d3 d2) c=X(e3 e2 f0 b1) d=X(g3 h0 b3 b2) e=X(h3 h2 c1 c0) f=X(c2 i0 g1 g0) g=X(f3 f2 h1 d0) h=X(d1 g2 e1 e0) i=V(f1) ['name'='7_842'],-A**23 + 2*A**19 - 3*A**15 + 3*A**11 - 4*A**7 - 2*A**5 + 2*A**3 + 2*A,2*t - 4 + 2/t,A**(-4) - 2/A**8 + 3/A**12 - 3/A**16 + 4/A**20 + 2*L1/A**22 - 2/A**24 - 2*L1/A**26,5*w**2 + 2*w - 7 - 2/w + 3/w**2,A**27 - A**26 + 3*A**25 + 2*A**24 - 5*A**23 + 5*A**22 + 3*A**21 - 4*A**20 + 2*A**19 + 2*A**18 + 2*A**17 - 3*A**16 + 2*A**15 + 3*A**14 - 4*A**13 - A**12 + 4*A**11 - 3*A**10 - 3*A**9 + 4*A**8 - A**7 - 4*A**6 + 2*A**4 - A**3 - A**2 + A + 1,7_842,7_1537,True,False,True,True
6_213,a=V(b0) b=X(a0 c0 d3 d2) c=X(b1 e0 e3 f0) d=X(g3 e1 b3 b2) e=X(c1 d1 g2 c2) f=X(c3 h0 g1 g0) g=X(f3 f2 e2 d0) h=V(f1) ['name'='6_213'],-2*A**16 - A**14 + 2*A**12 + 2*A**10 - A**6 + A**2,-2*t + 4 - 2/t,-2*A**22*L1 - A**20 + 2*A**18*L1 + 2*A**16 - A**12 + A**8,w**4 - w**2 - 2/w - 1/w**2 + 2/w**3 + 2/w**4,-A**22 - A**21 + A**20 + A**19 + 3*A**16 - A**15 - A**14 + A**13 - A**12 - A**10 + 2*A**9 + 2*A**6 - A**5 - 3*A**4 - A**3 - A**2 - 2*A - 2,6_213,6_327,True,False,True,True
7_856,a=V(b0) b=X(a0 c0 d3 d2) c=X(b1 d1 e3 f0) d=X(g3 c1 b3 b2) e=X(g2 f2 f1 c2) f=X(c3 e2 e1 h0) g=X(h3 h2 e0 d0) h=X(f3 i0 g1 g0) i=V(h1) ['name'='7_856'],-A**25 + 2*A**21 + 2*A**19 - 2*A**17 - 4*A**15 + 4*A**11 + A**9 - 2*A**7 - 2*A**5 + A,-2*t + 4 - 2/t,A**16 - 2*A**12 - 2*A**10*L1 + 2*A**8 + 4*A**6*L1 - 4*A**2*L1 - 1 + 2*L1/A**2 + 2/A**4 - 1/A**8,-w**2 - 2*w + 2 + 4/w - 4/w**3 - 1/w**4 + 2/w**5 + w**(-6),-A**24 + 2*A**23 + 3*A**22 - 6*A**21 - A**20 + 8*A**19 - 6*A**18 - 5*A**17 + 9*A**16 - 2*A**15 - 4*A**14 + 4*A**13 + A**12 - A**11 - 5*A**10 + 4*A**9 - A**8 - 11*A**7 + 6*A**6 + 4*A**5 - 8*A**4 + 3*A**3 + 4*A**2 - 2*A - 1,7_856,7_544,True,False,True,True
5_54,a=V(b0) b=X(a0 c3 d3 c0) c=X(b3 d2 e3 b1) d=X(f3 e0 c1 b2) e=X(d1 f2 f0 c2) f=X(e2 g0 e1 d0) g=V(f1) ['name'='5_54'],-A**18 + 3*A**14 + 2*A**12 - 2*A**10 - 4*A**8 + 2*A**4 + A**2,0,-A**12 + 3*A**8 + 2*A**6*L1 - 2*A**4 - 4*A**2*L1 + 2*L1/A**2 + A**(-4),w**4 + 2*w**3 - 2*w**2 - 4*w + 2 + 2/w,-A**23 + A**22 + 2*A**21 - 4*A**20 + 2*A**19 + 4*A**18 - 6*A**17 + 2*A**15 - 3*A**14 + 2*A**11 - 2*A**10 - 2*A**9 + 4*A**8 - 3*A**7 - 4*A**6 + 4*A**5 - A**4 - 3*A**3 + 2*A**2 + A - 1,5_54,5_30,True,False,True,True
7_906,a=V(b0) b=X(a0 c0 c3 d0) c=X(b1 e3 d1 b2) d=X(b3 c2 f3 e0) e=X(d3 f2 g0 c1) f=X(g3 h0 e1 d2) g=X(e2 h2 h1 f0) h=X(f1 g2 g1 i0) i=V(h3) ['name'='7_906'],A**22 - 2*A**18 + 5*A**14 + 2*A**12 - 5*A**10 - 4*A**8 + 3*A**6 + 4*A**4 - A**2 - 2,2*t - 4 + 2/t,A**(-8) - 2/A**12 + 5/A**16 + 2*L1/A**18 - 5/A**20 - 4*L1/A**22 + 3/A**24 + 4*L1/A**26 - 1/A**28 - 2*L1/A**30,3*w**4 + 2*w**3 - 5*w**2 - 4*w + 5 + 4/w - 3/w**2 - 2/w**3 + w**(-4),3*A**27 + A**26 - 4*A**25 + 5*A**24 + 7*A**23 - 10*A**22 + 2*A**21 + 12*A**20 - 9*A**19 - 3*A**18 + 9*A**17 - 3*A**16 - 4*A**15 + 7*A**13 - 5*A**12 - 7*A**11 + 12*A**10 - 4*A**9 - 11*A**8 + 8*A**7 + 3*A**6 - 7*A**5 + 2*A**4 + 4*A**3 - 2*A**2 - A + 1,7_906,7_466,True,False,True,True
7_932,a=V(b0) b=X(a0 c0 c3 d3) c=X(b1 d2 e0 b2) d=X(e3 f0 c1 b3) e=X(c2 g3 f1 d0) f=X(d1 e2 h0 g0) g=X(f3 h2 h1 e1) h=X(f2 g2 g1 i0) i=V(h3) ['name'='7_932'],A**18 + 2*A**16 + A**14 - 4*A**12 - 4*A**10 + 2*A**8 + 6*A**6 + 2*A**4 - 3*A**2 - 2,2*t - 4 + 2/t,A**(-12) + 2*L1/A**14 + A**(-16) - 4*L1/A**18 - 4/A**20 + 2*L1/A**22 + 6/A**24 + 2*L1/A**26 - 3/A**28 - 2*L1/A**30,w**6 + 2*w**5 + w**4 - 4*w**3 - 4*w**2 + 2*w + 5 + 2/w - 3/w**2 - 2/w**3 + w**(-4),A**29 + A**28 - 2*A**27 - A**26 + 7*A**25 - 7*A**23 + 7*A**22 + 7*A**21 - 10*A**20 + 11*A**18 - 5*A**17 - 3*A**16 + 8*A**15 - 5*A**13 - 3*A**12 + 8*A**11 - 7*A**10 - 9*A**9 + 12*A**8 - 2*A**7 - 8*A**6 + 5*A**5 + 3*A**4 - 3*A**3 - A**2 + A + 1,7_932,7_472,True,False,True,True
7_947,a=V(b0) b=X(a0 c0 d3 d2) c=X(b1 e0 e3 f0) d=X(g3 h3 b3 b2) e=X(c1 h2 h1 c2) f=X(c3 i0 g1 g0) g=X(f3 f2 h0 d0) h=X(g2 e2 e1 d1) i=V(f1) ['name'='7_947'],2*A**20 + 2*A**18 - 2*A**16 - 3*A**14 + 2*A**10 - A**6 + A**2,2*t - 4 + 2/t,2*A**2*L1 + 2 - 2*L1/A**2 - 3/A**4 + 2/A**8 - 1/A**12 + A**(-16),-w**2 + 2*w + 5 - 2/w - 3/w**2,-A**25 - A**24 + A**23 + A**22 - 2*A**20 + 2*A**19 + A**18 - 4*A**17 + A**16 + A**15 - 3*A**14 - 2*A**10 + 2*A**8 - 3*A**7 + 3*A**5 - A**4 - 2*A**3 + A**2 + A - 1,7_947,7_1023,True,False,True,True
